Chapter (English)	Chapter (Hindi)	Rubric (English)	Rubric (Hindi)	Medicine	Grading
HEAD	सिर	HEAD - PAIN, sudden - and go, suddenly	सिर - दर्द, अचानक - और जाना, अचानक	Bell	2
HEAD	सिर	HEAD - PAIN, sudden - and go, suddenly	सिर - दर्द, अचानक - और जाना, अचानक	merc-c	1
HEAD	सिर	HEAD - PAIN, sudden - decreasing gradually	सिर - दर्द, अचानक - धीरे-धीरे कम होता है	Asaf	2
HEAD	सिर	HEAD - PAIN, sudden - decreasing gradually	सिर - दर्द, अचानक - धीरे-धीरे कम होता है	calc-ac	2
HEAD	सिर	HEAD - PAIN, sudden - decreasing gradually	सिर - दर्द, अचानक - धीरे-धीरे कम होता है	fl-ac	2
HEAD	सिर	HEAD - PAIN, sudden - decreasing gradually	सिर - दर्द, अचानक - धीरे-धीरे कम होता है	puls	1
HEAD	सिर	HEAD - PAIN, sudden - decreasing gradually	सिर - दर्द, अचानक - धीरे-धीरे कम होता है	ran-sc	2
HEAD	सिर	HEAD - PAIN, sudden - decreasing gradually	सिर - दर्द, अचानक - धीरे-धीरे कम होता है	sabin	1
HEAD	सिर	HEAD - PAIN, sudden - during micturition	सिर - दर्द, अचानक - पेशाब के दौरान	Tabac	1
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	Ant-c	2
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	bar-c	1
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	Bell	3
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	bry	1
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	Carb-v	3
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	graph	1
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	lyc	1
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	Nat-c	3
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	nat-m	1
